Run,Size,Time_insert (nanoseconds),Time_getMax (nanoseconds),Time_deleteMax (nanoseconds) 
0,8213504,156499200,5374600,6558800
1,2983849,65397000,1073800,1575000
2,276561,5018300,41800,75400
3,2945033,52523000,748100,1059700
4,8228595,140375600,1996600,3009900
5,825480,13910400,111200,214400
6,889251,15055400,150300,246700
7,7071686,120171900,1682400,2559600
8,7890663,137232700,1891800,2800400
9,5757649,98337900,1405900,2231400
10,5653166,96290600,1408400,1999800
11,8658154,151881400,2119900,3217500
12,3128325,55014100,861500,1153200
13,5444890,97083600,1735800,3656400
14,7280534,130306500,1831600,2785300
15,4475124,79829300,1188700,1729100
16,5783518,101795300,1391700,2028200
17,2240527,37950700,516300,736200
18,1349959,23782400,306800,427500
19,3287341,57160400,772800,1143200
20,9791063,174283000,2404100,3639400
21,8188240,152733900,2666500,3453700
22,5404509,96231500,1547900,2139000
23,4703699,83811700,1143000,1743700
24,4004090,71559500,990900,1407500
25,2288108,41851300,585600,844800
26,8543804,158391300,2525600,3399800
27,5564590,103042000,1393000,2106700
28,7358748,132705400,1941000,2871100
29,8977968,164693900,2248000,3294900
30,2411362,40717600,544800,766700
31,9519648,167084500,2277000,3439100
32,1019077,18079200,228000,317300
33,6199080,107306600,1494500,2192600
34,2112400,35932400,461900,744800
35,1618342,29548100,446200,556400
36,4619796,80113700,1110500,1656800
37,9207228,156066700,2413900,3653100
38,1794207,31300900,409500,539900
39,3954425,67253700,1044500,1424000
40,4640894,78788300,1139700,1703500
41,2382654,41997000,511300,767300
42,2289529,40383800,557500,780900
43,9159645,158283300,2199700,3365700
44,8908307,152047000,2092700,3145200
45,6369769,108217000,1517300,2254600
46,1912696,33959200,497400,676200
47,6022154,105612300,1594700,2266200
48,7894826,142137200,1982700,3141300
49,6426765,113050600,1651400,2395900
50,3686152,62276500,858700,1382000
51,4079408,72064800,1000800,1489100
52,4615138,78172500,1166900,1750200
53,9365725,159140700,2655800,3491700
54,9107258,157421800,2322500,3242100
55,3653957,61878000,882900,1276500
56,108092,1818300,15200,28600
57,561091,9489900,76400,148900
58,2594188,44943700,645200,873300
59,6551550,110937700,1622400,2728800
60,5582867,95760700,1393200,1986000
61,5087513,88068200,1425200,2092400
62,3457618,58416300,798000,1207100
63,8369558,142410700,2010000,2956300
64,1325265,22413900,255000,384700
65,2755246,46476800,617000,896900
66,7118029,124336500,1717200,2605600
67,7525318,128166600,1774100,2658500
68,7078558,123798100,1709500,2675800
69,8695368,151427100,2146300,3097400
70,1612097,27236600,277900,451100
71,6569897,114984200,1688400,2336900
72,1650237,27716000,259100,449700
73,9375889,161602800,2209800,3315300
74,7581103,129268200,2254300,2943900
75,9688651,165379900,2324800,3447900
76,5425105,92439300,1295300,1933600
77,7049183,119081700,1669100,2491900
78,9750315,165947100,2310400,3483400
79,7566417,128521200,1773600,2749000
80,6998925,118212000,1660700,2477900
81,1880013,31721800,386300,574600
82,352744,6006900,65000,95700
83,8637921,146204900,2045600,3044700
84,8979391,155648400,2354400,3333600
85,3801258,66682100,915900,1348400
86,8855101,149821600,2074500,3105200
87,4299374,74202200,1018400,1511700
88,3040329,53696000,709500,1038300
89,2038633,34292900,388300,598900
90,5917359,100450000,1582300,2294500
91,5734499,98476400,1369300,2040700
92,3555294,61416300,851400,1239000
93,1892223,32018000,333600,545600
94,2322404,41520400,591900,857200
95,5843964,100298600,1369900,2068600
96,5390896,92902900,1331500,1899300
97,3254985,55693000,797400,1178100
98,1600392,27043100,253300,435300
99,3423471,57794700,830500,1171400
100,3135810,55268200,868000,1235700
101,6287107,107846700,1507800,2224600
102,4612779,79259200,1189000,1691100
103,4039768,68516300,1039500,1402800
104,1961929,33187900,399100,612900
105,4524529,76353100,1154200,1635300
106,2674123,49055100,683000,975700
107,6402871,114699500,1586100,2432400
108,3978286,68483100,971900,1410600
109,1696300,28612300,274700,469400
110,2166280,36791500,469600,863800
111,5142605,86994700,1243800,1825100
112,5647817,98231400,1363800,2071600
113,8624520,147221400,2044200,3070000
114,4572747,77343400,1102100,1611800
115,6276038,106793000,1495900,2255200
116,3140695,56451000,763700,1133800
117,8159858,138303900,1936400,2899300
118,481396,8388200,72700,125700
119,822509,13956400,136700,228100
120,1975391,33320100,382000,577800
121,6007678,103198000,1464200,2288800
122,8543914,151556000,2160300,3136700
123,2040935,34490700,388500,607200
124,2777047,46911900,692900,970000
125,2037848,36818300,514700,710500
126,6214281,105283300,1562400,2199600
127,2030466,34403000,479300,671700
128,4683421,81710200,1390500,1831700
129,5436028,91964600,1341300,2021600
130,7430833,128426500,2117100,3063300
131,7236785,122927300,1731400,2560900
132,8146761,142637800,1930200,2885300
133,1003643,16895900,155600,269900
134,8318979,143603800,1991500,3058400
135,2893584,48946200,670700,976500
136,6566241,111961700,1582400,2344200
137,8638085,149557300,2075200,3155300
138,3025186,51426500,732700,1037100
139,700454,11897500,139600,201900
140,3464046,58890400,878600,1198300
141,7892266,134874400,1877400,2794600
142,1523137,26652700,279600,444000
143,5206699,88344000,1248600,1832800
144,7657347,131484200,1853600,2756800
145,9148189,154639100,2164900,3225400
146,8672291,147533100,2051200,3089100
