Run,Size,Time_insert (nanoseconds)
0,6512698,10145300
1,1177261,2630300
2,6644319,3672900
3,896747,371500
4,3756293,2414800
5,8651065,4226300
6,6670304,3397400
7,8565496,4532600
8,8991124,4453700
9,4839389,2555800
10,622557,187200
11,590693,181000
12,4049190,2481100
13,5877081,3271300
14,2217996,1361600
15,6598538,3176500
16,1872660,875200
17,2851399,1255800
18,138083,32300
19,2992834,1697600
20,2423722,1059900
21,6935966,3502900
22,4280428,2220600
23,4027344,2173400
24,5552809,3620300
25,1708993,609100
26,9471545,6545100
27,3101463,1483200
28,9807044,4866100
29,9124958,4394300
30,8533443,4167900
31,8236811,4540200
32,2797058,1393700
33,617173,215000
34,8914548,5872400
35,6898386,3324700
36,5955429,2970400
37,1387682,870400
38,3494922,1845800
39,5295426,2545300
40,170500,47400
41,7004605,3679800
42,1953363,1035500
43,9189229,4936200
44,9430731,4848400
45,4790727,2627400
46,8393097,4065500
47,9149228,5309600
48,4940568,2981700
49,5805176,3469800
50,4062243,2104600
51,8091439,4227800
52,1113032,413100
53,3285014,1850100
54,7052753,4262900
55,697186,347900
56,879866,470000
57,6958152,3489500
58,8563584,4309000
59,6147894,3315200
60,3859096,2084800
61,2775892,1385200
62,3355079,2590100
63,7710038,3746400
64,6409608,3273900
65,5642079,3646500
66,9695443,6063200
67,8271708,4266200
68,2945728,1415900
69,2387488,1128900
70,8858375,4313400
71,8309089,4018500
72,2203901,1201600
73,4432206,2256400
74,1719302,747200
75,382762,90500
76,9000054,4416500
77,8611074,4154100
78,2282663,1022400
79,5517307,3002800
80,6466706,3285300
81,2136418,1086200
82,8249797,4333100
83,3376444,1695600
84,1725964,1004000
85,9232656,4457400
86,8445101,4423800
87,6390369,3600700
88,9807494,5084200
89,6613936,3197500
90,4024797,1933400
91,8423421,4365600
92,6455035,3844400
93,6447463,3599300
94,9887962,5255200
95,244308,75100
96,2551638,1546200
97,1094686,395500
98,6195007,3190700
99,5791915,2821600
100,7203323,5551700
101,174687,43300
102,4688666,2480100
103,7621782,4085800
104,2415258,2359100
105,852912,571600
106,1482965,765000
107,695514,208100
108,5110188,2686800
109,5817792,2986200
110,2210674,1087300
111,5966878,3087000
112,1020384,300200
113,6292973,3222700
114,283358,71000
115,7456975,3743000
116,9059692,4302900
117,1043726,367500
118,6346028,3052600
119,6682586,3259000
120,1318291,621000
121,2176237,1202800
122,3941292,2047200
123,7196838,3480100
124,2845819,1564600
125,8016641,4434100
126,5439221,3274500
127,4684438,2358200
128,2730537,1392600
129,3993220,2147900
130,1919905,770600
131,8822628,4227200
132,3458629,1955100
133,9409700,4804700
134,7975344,4528400
135,5697114,2877100
136,6898915,4070700
137,4022443,1926700
138,1841706,720000
139,1129802,391900
140,546426,163000
141,12381,2800
142,3587400,1845100
143,685633,304900
144,8477397,4568300
145,4135824,2039900
146,5544845,2902100
147,8229055,3563000
148,2424412,1193400
149,5776401,2855700
150,541110,136700
151,6525281,3398700
152,7512986,4129400
153,4960860,2523900
154,3211554,1619100
155,9435929,4588200
156,896636,295600
157,3386167,1641600
158,8970871,6228500
159,2176806,1332100
160,6910142,3733200
161,3233797,1739000
162,7174198,4231900
163,5804484,2990100
164,4369631,2409600
165,1735434,1361000
166,8727400,4426900
167,7330722,3688000
168,8818798,6390500
169,721664,285800
170,9002838,5967300
171,8930131,4545000
172,4402907,2401000
173,5869933,3043400
174,8569694,4331500
175,6379082,3120300
176,458293,167600
177,9055107,4599700
178,8535236,4557000
179,2227138,1423200
180,458378,205500
181,6547802,3758300
182,847126,892800
183,5547555,3533200
184,6131160,3521600
185,2828481,2173000
186,5643051,3750700
187,2700732,2477700
188,6819186,3311400
189,8349948,7891100
190,4886983,2883000
191,3053665,1573400
192,2701412,1371000
193,1745935,635000
194,7872970,3917000
195,273159,68400
196,3041993,1811600
197,6137784,3111500
198,5788363,3109200
199,2419135,1261000
200,9921606,5303000
201,6118805,3535200
202,7197180,3508800
203,5010872,2335600
204,6213158,2738600
205,1314692,415500
206,7145516,3498800
207,7643908,3699600
208,3559166,2340300
209,5522837,3586700
210,5724906,2753500
211,9099027,4893700
212,3540070,1692800
213,3925367,1831200
214,1678364,715000
215,6561204,3473600
216,4922393,4498000
217,4484283,2582300
218,7474101,4091500
219,369556,89600
220,5530295,2739000
221,9033665,4585100
222,6924224,4500600
223,8920012,4749400
224,6927237,3386600
225,6050528,4765500
226,5316229,2675700
227,5465633,2842000
228,3454191,1795300
229,4995373,2411100
230,6387467,5573900
231,3301258,2094000
232,2233232,1078100
233,6419147,3975300
234,3725440,1841200
235,7234040,4111000
236,7066910,3484500
237,1540415,692300
238,4667147,2400800
239,8498950,4783800
240,7845116,3862400
241,7864967,4281200
242,9455192,5096800
243,7906531,3801100
244,7866256,4475900
245,9125199,4560000
246,2985725,1898500
247,7201477,3657600
248,2035123,1449900
249,8941828,4573200
250,2186882,960400
251,7120116,3492700
252,3456573,1671400
253,8962788,4504200
254,1936946,1100600
255,3924825,1979600
256,215836,57400
257,3633994,1763900
258,951048,594200
259,5760443,4105200
260,7179798,3835800
261,7175641,3494800
262,943684,312500
263,4442288,2670700
264,5365577,2883000
265,7324783,6398400
266,489605,134800
267,6231867,3016100
268,4660409,2322100
269,4931892,2375000
270,2943821,1450100
271,6564730,3226200
272,343022,93200
273,6276221,3319900
274,6349886,3105300
275,4410401,2122600
276,7403887,4365500
277,5513217,2923900
278,654576,185800
279,9574515,5097400
280,9054278,5179200
281,4213186,2610700
282,2109458,944200
283,885162,353800
284,2539978,1211200
285,9107291,5754100
286,8714596,6435200
287,6374916,3163100
288,3228570,1753500
289,9864951,5301100
290,859527,301800
291,1017540,408100
292,7238025,4104000
293,2619325,1206400
294,1747251,740100
295,2658636,1387100
296,9414004,4715000
297,6752765,4864600
298,7030504,3446000
299,8262440,4874300
300,673517,231400
301,9405556,4737800
302,5316656,2687600
303,5550651,2825300
304,7150727,3425700
305,2347635,1196300
306,4881492,2472100
307,7116541,3433000
308,1712113,604900
309,3389449,1660300
310,208548,56400
311,9303008,4964000
