Run,Size,Time_insert (nanoseconds),Time_getMax (nanoseconds),Time_deleteMax (nanoseconds) 
0,8213504,215079800,5400,8000
1,2983849,81203100,100,900
2,276561,7062400,0,200
3,2945033,72513700,0,300
4,8228595,206464000,0,1100
5,825480,20044200,0,300
6,889251,21583800,100,300
7,7071686,173691200,100,300
8,7890663,191624800,0,800
9,5757649,144012500,0,600
10,5653166,137295300,100,500
11,8658154,222902100,0,900
12,3128325,80163500,0,800
13,5444890,155836400,0,500
14,7280534,190427800,100,900
15,4475124,114960900,0,600
16,5783518,146129300,0,600
17,2240527,58064300,0,700
18,1349959,34100400,100,200
19,3287341,82967900,100,900
20,9791063,254663800,0,1800
21,8188240,216320800,100,1100
22,5404509,143159600,0,600
23,4703699,116312300,0,700
24,4004090,98440000,0,600
25,2288108,59320100,100,300
26,8543804,228398900,0,700
27,5564590,145410200,0,300
28,7358748,188079100,100,900
29,8977968,228634600,0,700
30,2411362,59450100,0,300
31,9519648,239019000,0,1000
32,1019077,25808500,0,400
33,6199080,150901500,0,300
34,2112400,51671200,0,800
35,1618342,40881900,0,400
36,4619796,111855600,0,700
37,9207228,228956600,0,800
38,1794207,43400000,0,300
39,3954425,97775400,0,500
40,4640894,116948600,0,300
41,2382654,60037700,0,400
42,2289529,57150700,0,300
43,9159645,225414600,0,300
44,8908307,216484300,0,900
45,6369769,155387900,0,300
46,1912696,50580800,0,700
47,6022154,147756200,100,700
48,7894826,199306300,100,1000
49,6426765,158538100,0,900
50,3686152,94341700,100,500
51,4079408,99540100,100,600
52,4615138,112674400,100,500
53,9365725,230016800,0,600
54,9107258,222010800,0,1200
55,3653957,88544700,0,500
56,108092,2600200,0,200
57,561091,13624200,0,200
58,2594188,63486800,0,400
59,6551550,160306400,0,700
60,5582867,140591800,0,600
61,5087513,130120400,100,600
62,3457618,83711400,100,400
63,8369558,205233700,0,800
64,1325265,32099600,100,200
65,2755246,66659800,100,200
66,7118029,176280100,0,900
67,7525318,182473700,0,600
68,7078558,171847100,0,500
69,8695368,213210800,0,800
70,1612097,39041600,100,300
71,6569897,158917900,0,500
72,1650237,39977500,100,200
73,9375889,229869300,0,1000
74,7581103,186031700,100,800
75,9688651,237726300,0,600
76,5425105,137162900,0,700
77,7049183,173892300,0,500
78,9750315,239080700,0,300
