Run,Size,Time_insert (nanoseconds)
0,6512698,75323400
1,1177261,16843400
2,6644319,64623800
3,896747,8461500
4,3756293,35868300
5,8651065,80786000
6,6670304,64125200
7,8565496,82691800
8,8991124,84255700
9,4839389,45212600
10,622557,6247800
11,590693,5455900
12,4049190,38863800
13,5877081,57900200
14,2217996,20853000
15,6598538,61703600
16,1872660,17440300
17,2851399,26623100
18,138083,1267400
19,2992834,28101900
20,2423722,22641700
21,6935966,65603100
22,4280428,39995100
23,4027344,37663600
24,5552809,52082600
25,1708993,15930900
26,9471545,89418500
27,3101463,28305200
28,9807044,91845100
29,9124958,86685800
30,8533443,78279900
31,8236811,78706100
32,2797058,26938900
33,617173,5907200
34,8914548,85688500
35,6898386,64512200
36,5955429,60094000
37,1387682,14090700
38,3494922,34654800
39,5295426,49578000
40,170500,1575100
41,7004605,67619900
42,1953363,18612300
43,9189229,86513600
44,9430731,91467100
45,4790727,45579400
46,8393097,79021500
47,9149228,85892700
48,4940568,46473400
49,5805176,55736100
50,4062243,39263700
51,8091439,75990400
52,1113032,11937600
53,3285014,30566700
54,7052753,69886500
55,697186,7331100
56,879866,8199800
57,6958152,65037800
58,8563584,81120500
59,6147894,57444900
60,3859096,36769500
61,2775892,25913700
62,3355079,32631100
63,7710038,74939300
64,6409608,60159200
65,5642079,53553700
66,9695443,91318300
67,8271708,76501100
68,2945728,28033400
69,2387488,23762900
70,8858375,84314000
71,8309089,78272500
72,2203901,21345900
73,4432206,41616600
74,1719302,16532500
75,382762,3720100
76,9000054,84420000
77,8611074,81852800
78,2282663,21594200
79,5517307,50345200
80,6466706,61446000
81,2136418,20173300
82,8249797,79066800
83,3376444,32125800
84,1725964,18273700
85,9232656,87215200
86,8445101,79697900
87,6390369,59782400
88,9807494,94035500
89,6613936,61965000
90,4024797,37640000
91,8423421,82062600
92,6455035,62550700
93,6447463,61939800
94,9887962,96558500
95,244308,2365700
96,2551638,23763500
97,1094686,11468700
98,6195007,57818200
99,5791915,54545400
100,7203323,67652200
101,174687,1590600
102,4688666,46355700
103,7621782,78513900
104,2415258,28022300
105,852912,8171600
106,1482965,14505100
107,695514,7492500
108,5110188,48496700
109,5817792,54175700
110,2210674,21095900
111,5966878,54274400
112,1020384,9217000
113,6292973,60430400
114,283358,2927700
115,7456975,69734300
116,9059692,85155100
117,1043726,9966000
118,6346028,61840600
119,6682586,62018900
120,1318291,12149100
121,2176237,20814800
122,3941292,37681100
123,7196838,67545500
124,2845819,27030900
125,8016641,77415200
126,5439221,51717200
127,4684438,44822700
128,2730537,26013600
129,3993220,37635800
130,1919905,18787700
131,8822628,78771000
132,3458629,32018300
133,9409700,89570800
134,7975344,76578000
135,5697114,53536300
136,6898915,64437100
137,4022443,39338900
138,1841706,18054200
139,1129802,11053100
140,546426,4977300
141,12381,107800
142,3587400,33822100
143,685633,6674700
144,8477397,83499600
145,4135824,38636500
146,5544845,52209900
147,8229055,77494700
148,2424412,22822200
149,5776401,54180000
150,541110,5154900
151,6525281,63276000
152,7512986,71484400
153,4960860,48378700
154,3211554,30054200
155,9435929,87013400
156,896636,8258500
157,3386167,31543100
158,8970871,84230800
159,2176806,20537500
160,6910142,65594900
161,3233797,31094100
162,7174198,67969000
163,5804484,56125400
164,4369631,42628400
165,1735434,16699500
166,8727400,85006500
167,7330722,69039900
168,8818798,90750600
169,721664,6808700
170,9002838,87031100
171,8930131,80807300
172,4402907,42400600
173,5869933,56369700
174,8569694,80751400
175,6379082,61921600
176,458293,4368600
177,9055107,85549600
178,8535236,80141900
179,2227138,21611200
180,458378,4235900
181,6547802,65008000
182,847126,11184600
183,5547555,55191800
184,6131160,58802600
185,2828481,29154600
186,5643051,53306000
187,2700732,29358700
188,6819186,64667500
189,8349948,79702800
190,4886983,46739300
191,3053665,28579900
192,2701412,25145800
193,1745935,17765400
194,7872970,75857000
195,273159,2871100
196,3041993,28970500
197,6137784,59897100
198,5788363,56391200
199,2419135,23928800
200,9921606,94006600
201,6118805,57886900
202,7197180,67198700
203,5010872,46861900
204,6213158,58101100
205,1314692,12322400
206,7145516,67031000
207,7643908,71554700
208,3559166,35477700
209,5522837,51000100
210,5724906,53760200
211,9099027,84864600
212,3540070,32860700
213,3925367,36484500
214,1678364,15322900
215,6561204,61338000
216,4922393,46724000
217,4484283,42788400
218,7474101,71451500
219,369556,3383300
220,5530295,52413000
221,9033665,85914600
222,6924224,65128900
223,8920012,83599900
224,6927237,64841200
225,6050528,58759100
226,5316229,49324600
227,5465633,51089900
228,3454191,32240500
229,4995373,46461200
230,6387467,60812500
231,3301258,31198900
232,2233232,21663300
233,6419147,63756400
234,3725440,35339900
235,7234040,69104800
236,7066910,67006700
237,1540415,16661800
238,4667147,44036500
239,8498950,79741600
240,7845116,73964300
241,7864967,74009000
242,9455192,89026600
243,7906531,75563100
244,7866256,75052900
245,9125199,86295400
246,2985725,27925300
247,7201477,67159500
248,2035123,19074500
249,8941828,81739200
250,2186882,20702800
251,7120116,66267900
252,3456573,32268400
253,8962788,85471000
254,1936946,18096700
255,3924825,36810600
256,215836,1970700
257,3633994,33925300
258,951048,8848100
259,5760443,53669300
260,7179798,70034600
261,7175641,67157200
262,943684,9414900
263,4442288,41546500
264,5365577,49778000
265,7324783,69614000
266,489605,4568900
267,6231867,58287200
268,4660409,44344400
269,4931892,50031100
270,2943821,27428100
271,6564730,62786300
272,343022,3692900
273,6276221,59148700
274,6349886,62368100
275,4410401,44744700
276,7403887,71751600
277,5513217,51679600
278,654576,6110700
279,9574515,94538200
280,9054278,85354900
281,4213186,43456800
282,2109458,21309000
283,885162,8524300
284,2539978,25468700
285,9107291,85895300
286,8714596,85575900
287,6374916,59612700
288,3228570,30573100
289,9864951,93787800
290,859527,7932500
291,1017540,9474000
292,7238025,69937300
293,2619325,24502000
294,1747251,17901300
295,2658636,25212900
296,9414004,88619200
297,6752765,63729000
298,7030504,66166400
299,8262440,77237500
300,673517,6365000
301,9405556,88618200
302,5316656,49652500
303,5550651,52174200
304,7150727,67665700
305,2347635,24027700
306,4881492,46580500
307,7116541,66597500
308,1712113,15913000
309,3389449,31771600
310,208548,1919300
311,9303008,89067800
312,8117125,79467800
313,1047114,10070700
314,4851303,45227800
315,5191816,50321700
316,5874145,55440700
317,766001,8087500
318,1183435,12939300
319,134442,1421700
320,6457036,57680500
321,6106197,60041100
322,7608170,72499900
323,7120243,80319200
324,5490292,51086700
325,7195077,82894300
326,2661389,26663300
327,3600021,35198700
